job_id,submit_time,iteration,model_name,ddl,batch_size,num_gpu,duration
0,3715485,2011,cifar10,3719996,4096,1,5644
1,3717550,1548,ncf,3717583,32768,8,66
2,3721209,14577,yolov3,3758928,64,1,33276
3,3721260,1548,ncf,3721296,32768,1,32
4,3721263,1548,ncf,3721307,32768,1,32
5,3721346,2264,deepspeech2,3740746,320,1,22997
6,3721372,23972,imagenet,3849181,6400,8,96857
7,3721372,1548,ncf,3721428,32768,8,66
8,3721433,1423,deepspeech2,3760411,640,1,28907
9,3721556,3178,cifar10,3722777,2048,8,826
10,3721556,2264,deepspeech2,3723662,320,8,3500
11,3721567,14577,yolov3,3740837,64,8,23859
12,3721578,2264,deepspeech2,3725251,320,8,3500
13,3724269,42123,imagenet,4234220,3200,1,621669
14,3725434,23972,imagenet,4133696,6400,1,707549
15,3725453,14577,yolov3,3749955,64,1,33276
16,3725473,14577,yolov3,3746246,64,1,33276
17,3725498,42123,imagenet,4184632,3200,1,621669
18,3725512,2264,deepspeech2,3743863,320,1,22997
19,3725718,1548,ncf,3725753,32768,1,32
20,3725752,14577,yolov3,3763979,64,1,33276
21,3725812,42123,imagenet,4102288,3200,1,621669
22,3726141,42123,imagenet,3918421,3200,4,168388
23,3726175,14577,yolov3,3735911,64,4,11083
24,3726184,1548,ncf,3726204,32768,4,27
25,3726192,480,bert,3730043,384,4,3363
26,3726227,2011,cifar10,3727644,4096,4,1588
27,3726239,23972,imagenet,3982340,6400,4,191477
28,3726264,1548,ncf,3726298,32768,4,27
29,3726405,480,bert,3730602,384,4,3363
30,3726517,14577,yolov3,3742010,64,4,11083
31,3726831,42123,imagenet,4223767,3200,1,621669
32,3730004,1423,deepspeech2,3740667,640,4,7382
33,3730108,2011,cifar10,3735912,4096,1,5644
34,3730857,14577,yolov3,3762045,64,8,23859
35,3733274,2011,cifar10,3736471,4096,1,5644
36,3733366,2011,cifar10,3738291,4096,1,5644
37,3733401,3178,cifar10,3737297,2048,1,4460
38,3733405,3178,cifar10,3738480,2048,1,4460
39,3733548,1548,ncf,3733572,32768,1,32
40,3733772,23972,imagenet,4777160,6400,1,707549
41,3737478,1548,ncf,3737498,32768,1,32
42,3740819,1423,deepspeech2,3776121,640,1,28907
43,3742528,14577,yolov3,3781197,64,1,33276
44,3743222,14577,yolov3,3763368,64,1,33276
45,3744271,2264,deepspeech2,3748348,320,8,3500
46,3744449,1423,deepspeech2,3786467,640,1,28907
47,3744534,480,bert,3757497,384,1,13950
48,3744539,1548,ncf,3744582,32768,1,32
49,3744599,23972,imagenet,4225159,6400,1,707549
50,3744645,2264,deepspeech2,3760356,320,1,22997
51,3745177,23972,imagenet,4773193,6400,1,707549
52,3745428,1548,ncf,3745475,32768,1,32
53,3746451,42123,imagenet,3856989,3200,8,85231
54,3747419,3178,cifar10,3751797,2048,1,4460
55,3747668,480,bert,3760563,384,1,13950
56,3748109,1423,deepspeech2,3755324,640,4,7382
57,3748578,2011,cifar10,3751489,4096,1,5644
58,3749539,23972,imagenet,4470779,6400,1,707549
59,3749547,14577,yolov3,3796224,64,1,33276
60,3754804,23972,imagenet,4467660,6400,1,707549
61,3755548,480,bert,3771136,384,1,13950
62,3755643,1548,ncf,3755679,32768,1,32
63,3755662,42123,imagenet,4073443,3200,1,621669
64,3755764,480,bert,3775008,384,1,13950
65,3756388,42123,imagenet,4209801,3200,1,621669
66,3757778,14577,yolov3,3781543,64,1,33276
67,3758174,23972,imagenet,4715683,6400,1,707549
68,3758334,3178,cifar10,3760865,2048,1,4460
69,3758766,2264,deepspeech2,3783116,320,1,22997
70,3760025,3178,cifar10,3764613,2048,1,4460
71,3762189,480,bert,3779123,384,1,13950
72,3762198,3178,cifar10,3765955,2048,1,4460
