time,full_resource,free_resource,pending_num,running_num,submit_num,ce
0,128,128,1,0,1,0.0
240,128,128,1,0,0,0.0
480,128,128,1,0,0,0.0
720,128,128,1,0,0,0.0
960,128,128,1,0,0,0.0
1200,128,127,0,1,0,0.0078125
1440,128,128,1,0,0,0.0
1680,128,127,0,1,0,0.0078125
1920,128,128,1,0,0,0.0
2160,128,127,0,1,0,0.0078125
2400,128,128,1,0,0,0.0
2640,128,127,0,1,0,0.0078125
2880,128,128,1,0,0,0.0
3120,128,127,0,1,0,0.0078125
3360,128,128,1,0,0,0.0
3600,128,127,0,1,0,0.0078125
3840,128,128,1,0,0,0.0
4080,128,127,0,1,0,0.0078125
4320,128,128,1,0,0,0.0
4560,128,127,0,1,0,0.0078125
4800,128,128,2,0,1,0.0
5040,128,127,1,1,0,0.0078125
5280,128,128,1,0,0,0.0
5520,128,128,1,0,0,0.0
5760,128,128,1,0,0,0.0
6000,128,128,1,0,0,0.0
6240,128,127,0,1,0,0.0078125
6480,128,128,1,0,0,0.0
6720,128,127,0,1,0,0.0078125
6960,128,128,1,0,0,0.0
7200,128,127,0,1,0,0.0078125
7440,128,128,1,0,0,0.0
7680,128,127,0,1,0,0.0078125
7920,128,128,1,0,0,0.0
8160,128,127,0,1,0,0.0078125
8400,128,128,1,0,0,0.0
8640,128,127,0,1,0,0.0078125
8880,128,128,1,0,0,0.0
9120,128,126,0,2,1,0.015625
9360,128,127,3,1,2,0.0078125
9600,128,125,1,3,0,0.0234375
9840,128,127,3,1,0,0.0078125
10080,128,126,1,2,0,0.015625
10320,128,128,3,0,0,0.0
10560,128,126,1,2,0,0.015625
10800,128,128,2,0,0,0.0
11040,128,127,1,1,0,0.0078125
11280,128,128,1,0,0,0.0
11520,128,128,1,0,0,0.0
11760,128,128,1,0,0,0.0
12000,128,128,1,0,0,0.0
12240,128,128,2,0,1,0.0
12480,128,128,2,0,0,0.0
12720,128,128,2,0,0,0.0
12960,128,128,2,0,0,0.0
13200,128,127,1,1,0,0.0078125
13440,128,128,2,0,0,0.0
13680,128,127,1,1,0,0.0078125
13920,128,128,2,0,0,0.0
14160,128,127,2,1,1,0.0078125
14400,128,128,3,0,0,0.0
14640,128,127,2,1,0,0.0078125
14880,128,128,3,0,0,0.0
15120,128,127,2,1,0,0.0078125
15360,128,128,3,0,0,0.0
15600,128,127,2,1,0,0.0078125
15840,128,127,3,1,1,0.0078125
16080,128,126,2,2,0,0.015625
16320,128,127,4,1,1,0.0078125
16560,128,126,3,2,0,0.015625
16800,128,127,4,1,0,0.0078125
