time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
3250,0,0,0,0,0,0,1,0
3490,0,0,0,0,0,0,1,0
3934,0,0,0,0,0,0,0,1
4686,0,0,0,0,0,0,1,1
7936,0,0,0,0,0,0,1,1
8176,0,0,0,0,0,0,1,1
9116,0,0,0,0,0,0,2,1
9356,0,0,0,0,0,0,4,1
9596,0,0,0,0,0,0,3,2
9872,0,0,0,0,0,0,2,3
10707,0,0,0,0,0,0,1,4
12043,0,0,0,0,0,0,2,4
12610,0,0,0,0,0,0,2,4
14041,0,0,0,0,0,0,3,4
14448,0,0,0,0,0,0,3,4
14805,0,0,0,0,0,0,3,4
15297,0,0,0,0,0,0,3,4
15703,0,0,0,0,0,0,4,4
16255,0,0,0,0,0,0,5,4
16560,0,0,0,0,0,0,5,4
16800,0,0,0,0,0,0,4,5
17652,0,0,0,0,0,0,5,5
19052,0,0,0,0,0,0,6,5
19292,0,0,0,0,0,0,6,5
19532,0,0,0,0,0,0,6,5
19804,0,0,0,0,0,0,5,6
20183,0,0,0,0,0,0,4,7
20423,0,0,0,0,0,0,5,7
20663,0,0,0,0,0,0,6,7
20906,0,0,0,0,0,0,6,7
21334,0,0,0,0,0,0,5,8
21574,0,0,0,0,0,0,6,8
22212,0,0,0,0,0,0,7,8
23459,0,0,0,0,0,0,7,8
23699,0,0,0,0,0,0,7,8
24137,0,0,0,0,0,0,8,8
24544,0,0,0,0,0,0,8,8
24828,0,0,0,0,0,0,8,8
25068,0,0,0,0,0,0,7,9
25418,0,0,0,0,0,0,6,10
25658,0,0,0,0,0,0,6,10
28287,0,0,0,0,0,0,5,11
28778,0,0,0,0,0,0,5,11
29416,0,0,0,0,0,0,5,11
32032,0,0,0,0,0,0,6,11
34700,0,0,0,0,0,0,5,12
35286,0,0,0,0,0,0,5,12
36507,0,0,0,0,0,0,6,12
37686,0,0,0,0,0,0,7,12
38568,0,0,0,0,0,0,8,12
38808,0,0,0,0,0,0,7,13
39048,0,0,0,0,0,0,8,13
39288,0,0,0,0,0,0,10,13
39761,0,0,0,0,0,0,10,13
40001,0,0,0,0,0,0,9,14
40241,0,0,0,0,0,0,10,14
40647,0,0,0,0,0,0,11,14
40940,0,0,0,0,0,0,11,14
41180,0,0,0,0,0,0,10,15
41420,0,0,0,0,0,0,11,15
41660,0,0,0,0,0,0,10,16
41900,0,0,0,0,0,0,9,17
42302,0,0,0,0,0,0,9,17
43691,0,0,0,0,0,0,9,17
43931,0,0,0,0,0,0,9,17
