time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
3934,0,1,0,0,3934,5896,3934,3934,0,0,0,0
9520,1,1,4686,4686,9520,11932,4834,4834,0,0,0,0
9872,2,1,9116,9116,9872,10244,756,756,0,0,0,0
10707,4,1,9336,9356,10707,11357,1351,1371,20,0,0,0
16716,7,1,15703,15703,16716,17217,1013,1013,0,0,0,0
19804,10,1,19052,19052,19804,20174,752,752,0,0,0,0
20183,3,1,9203,9356,20183,25437,10827,10980,153,0,0,0
21334,12,1,20617,20663,21334,21618,671,717,46,0,0,0
25048,11,1,20358,20423,25048,27290,4625,4690,65,0,0,0
25418,9,1,17652,17652,25418,29296,7766,7766,0,0,0,0
28287,8,1,16255,16255,28287,34298,12032,12032,0,0,0,0
34700,14,1,22212,22212,34700,40938,12488,12488,0,0,0,0
38594,15,8,24137,24137,38594,45808,14457,14457,0,0,0,0
39841,19,1,38568,38568,39841,40472,1273,1273,0,0,0,0
40989,21,1,39092,39288,40989,41637,1701,1897,196,0,0,0
41566,22,1,39134,39288,41566,42546,2278,2432,154,0,0,0
41575,16,1,32032,32032,41575,46340,9543,9543,0,0,0,0
44773,23,2,40071,40241,44773,46860,4532,4702,170,0,0,0
46875,27,1,45818,45818,46875,47398,1057,1057,0,0,0,0
48943,30,1,47492,47695,48943,49358,1248,1451,203,0,0,0
49079,32,8,48302,48322,49079,49422,757,777,20,0,0,0
51700,17,1,36507,36507,51700,59290,15193,15193,0,0,0,0
54283,24,4,40647,40647,54283,61090,13636,13636,0,0,0,0
56268,25,1,41364,41420,56268,63630,14848,14904,56,0,0,0
62018,35,1,61005,61005,62018,62519,1013,1013,0,0,0,0
64256,18,1,37686,37686,64256,77535,26570,26570,0,0,0,0
67757,38,4,67057,67057,67757,68108,700,700,0,0,0,0
68854,34,1,59322,59322,68854,73615,9532,9532,0,0,0,0
69854,36,8,61307,61307,69854,74113,8547,8547,0,0,0,0
70981,39,2,69046,69094,70981,71868,1887,1935,48,0,0,0
77886,42,1,77100,77100,77886,78274,786,786,0,0,0,0
78427,43,1,77755,77755,78427,78758,672,672,0,0,0,0
86153,44,1,83698,83698,86153,87380,2455,2455,0,0,0,0
86773,37,1,64667,64667,86773,97820,22106,22106,0,0,0,0
89632,45,1,88599,88599,89632,90142,1033,1033,0,0,0,0
93641,41,1,74761,74761,93641,103075,18880,18880,0,0,0,0
97501,49,1,93778,93881,97501,99202,3620,3723,103,0,0,0
99610,50,1,94912,94912,99610,101954,4698,4698,0,0,0,0
100884,46,1,88863,88863,100884,106889,12021,12021,0,0,0,0
101035,51,1,95922,95922,101035,103585,5113,5113,0,0,0,0
105227,54,16,103518,103518,105227,106064,1709,1709,0,0,0,0
107420,47,1,90967,90967,107420,115640,16453,16453,0,0,0,0
108018,56,1,107390,107390,108018,108326,628,628,0,0,0,0
108071,53,1,100846,100846,108071,111678,7225,7225,0,0,0,0
108329,5,1,12043,12043,108329,156466,96286,96286,0,0,0,0
112379,6,8,14041,14041,112379,161534,98338,98338,0,0,0,0
113762,59,1,113024,113024,113762,114131,738,738,0,0,0,0
115290,57,1,110839,110839,115290,117509,4451,4451,0,0,0,0
116821,58,1,111766,111784,116821,119315,5037,5055,18,0,0,0
118690,13,1,21461,21574,118690,167129,97116,97229,113,0,0,0
119825,60,1,116819,116819,119825,121323,3006,3006,0,0,0,0
120961,61,1,118749,118930,120961,121790,2031,2212,181,0,0,0
120972,63,1,120125,120229,120972,121234,743,847,104,0,0,0
124606,66,1,122790,122790,124606,125508,1816,1816,0,0,0,0
124636,20,1,39037,39048,124636,167413,85588,85599,11,0,0,0
