time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
0,0,0,0,0,0,0,1,0
385,0,0,0,0,0,0,0,1
4686,0,0,0,0,0,0,1,1
5952,0,0,0,0,0,0,0,2
9116,0,0,0,0,0,0,1,2
9356,0,0,0,0,0,0,2,3
9596,0,0,0,0,0,0,1,4
10596,0,0,0,0,0,0,0,5
12043,0,0,0,0,0,0,1,5
14041,0,0,0,0,0,0,2,5
15703,0,0,0,0,0,0,3,5
15943,0,0,0,0,0,0,2,6
16255,0,0,0,0,0,0,3,6
17652,0,0,0,0,0,0,4,6
18541,0,0,0,0,0,0,3,7
18781,0,0,0,0,0,0,2,8
19052,0,0,0,0,0,0,3,8
19292,0,0,0,0,0,0,2,9
20358,0,0,0,0,0,0,3,9
20617,0,0,0,0,0,0,4,9
20870,0,0,0,0,0,0,3,10
21318,0,0,0,0,0,0,2,11
21558,0,0,0,0,0,1,2,11
22212,0,0,0,0,0,1,3,11
23642,0,0,0,0,0,1,2,12
24137,0,0,0,0,0,1,3,12
29888,0,0,0,0,0,1,2,13
32032,0,0,0,0,0,1,3,13
33594,0,0,0,0,0,1,2,14
33834,0,0,0,0,0,0,2,15
36507,0,0,0,0,0,0,3,15
37686,0,0,0,0,0,0,4,15
38568,0,0,0,0,0,0,5,15
38834,0,0,0,0,0,0,4,16
39074,0,0,0,0,0,1,4,16
39314,0,0,0,0,0,1,6,16
39910,0,0,0,0,0,1,5,17
40150,0,0,0,0,0,1,5,18
40390,0,0,0,0,0,1,4,19
40647,0,0,0,0,0,1,5,19
41110,0,0,0,0,0,1,4,20
41364,0,0,0,0,0,1,5,20
44699,0,0,0,0,0,2,5,20
45770,0,0,0,0,0,2,4,21
46010,0,0,0,0,0,2,5,21
46250,0,0,0,0,0,2,3,23
47051,0,0,0,0,0,3,3,23
47455,0,0,0,0,0,4,3,23
47695,0,0,0,0,0,4,4,23
47935,0,0,0,0,0,4,3,24
48175,0,0,0,0,0,5,3,24
48415,0,0,0,0,0,5,4,24
49163,0,0,0,0,0,5,3,25
49403,0,0,0,0,0,6,3,25
52518,0,0,0,0,0,6,2,26
59322,0,0,0,0,0,6,3,26
