time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
496.0,0,64,0,0,496.0,5896,496.0,496,0,0,0,0
5900.0,1,32,4686,4686,5900.0,11932,1214.0,1214,0,0,0,0
9356,2,32,9116,9116,9274,10244,158,158,0,0,0,0
9598,4,64,9336,9356,9598,11357,242,262,20,0,0,0
10800,3,64,9203,9356,10800,25437,1444,1597,153,0,0,0
15957.0,7,32,15703,15703,15957.0,17217,254.0,254,0,0,0,0
18864.0,8,16,16255,16255,18864.0,34298,2609.0,2609,0,0,0,0
19104.0,9,32,17652,17652,18956.0,29296,1304.0,1304,0,0,0,0
19346.0,10,32,19052,19104.0,19346.0,20174,242.0,294,52.0,0,0,0
20859,12,16,20617,20617,20859,21618,242,242,0,0,0,0
21341,11,32,20358,20358,21341,27290,983,983,0,0,0,0
23894,14,32,22212,22212,23894,40938,1682,1682,0,0,0,0
29179,5,16,12043,12043,29179,156466,17136,17136,0,0,0,0
33474,15,32,24137,24137,33474,45808,9337,9337,0,0,0,0
33956,16,64,32032,32032,33956,46340,1924,1924,0,0,0,0
39037,19,32,38568,38568,38834,40472,266,266,0,0,0,0
39999,21,8,39092,39277,39999,41637,722,907,185,0,0,0
40239,17,8,36507,36507,40075,59290,3568,3568,0,0,0,0
40239,22,4,39134,39277,40100,42546,823,966,143,0,0,0
42096.0,23,16,40071,40239,42096.0,46860,1857.0,2025,168,0,0,0
46060,25,4,41364,41364,46060,63630,4696,4696,0,0,0,0
46302,27,16,45818,45818,46302,47398,484,484,0,0,0,0
46544,18,32,37686,37686,46544,77535,8858,8858,0,0,0,0
46544,24,32,40647,40647,46544,61090,5897,5897,0,0,0,0
47937,30,32,47492,47695,47937,49358,242,445,203,0,0,0
49139,32,32,48302,48417,49139,49422,722,837,115,0,0,0
56821,13,8,21461,21581,56821,167129,35240,35360,120,0,0,0
61551.0,35,1,61005,61005,61551.0,62519,546.0,546,0,0,0,0
63233.0,34,2,59322,59322,63233.0,73615,3911.0,3911,0,0,0,0
67779,38,16,67057,67057,67779,68108,722,722,0,0,0,0
70488,39,8,69046,69046,70488,71868,1442,1442,0,0,0,0
70970,36,4,61307,61307,70970,74113,9663,9663,0,0,0,0
77582,42,16,77100,77100,77582,78274,482,482,0,0,0,0
77582,37,1,64667,64667,77582,97820,12915,12915,0,0,0,0
78064,43,8,77755,77822,78064,78758,242,309,67,0,0,0
78306,20,16,39037,39037,78306,167413,39269,39269,0,0,0,0
78548,31,32,48082,48177,78548,254401,30371,30466,95,0,0,0
84420,41,8,74761,74761,84420,103075,9659,9659,0,0,0,0
84662,44,16,83698,83698,84662,87380,964,964,0,0,0,0
89345,45,8,88599,88599,89345,90142,746,746,0,0,0,0
94026.0,46,4,88863,88863,94026.0,106889,5163.0,5163,0,0,0,0
95874,49,1,93778,93778,95874,99202,2096,2096,0,0,0,0
96356,6,32,14041,14041,96356,161534,82315,82315,0,0,0,0
98038,50,2,94912,94912,98038,101954,3126,3126,0,0,0,0
98280,51,16,95922,96114,98280,103585,2166,2358,192,0,0,0
98522,47,16,90967,90967,98522,115640,7555,7555,0,0,0,0
102288,53,16,100846,100846,102288,111678,1442,1442,0,0,0,0
104895,54,32,103518,103518,104895,106064,1377,1377,0,0,0,0
107057,48,16,92850,92850,107057,197786,14207,14207,0,0,0,0
107632,56,16,107390,107390,107632,108326,242,242,0,0,0,0
111766,57,16,110839,110839,111707,117509,868,868,0,0,0,0
112728,58,16,111766,111766,112728,119315,962,962,0,0,0,0
113266,59,16,113024,113024,113266,114131,242,242,0,0,0,0
117781,60,4,116819,116819,117781,121323,962,962,0,0,0,0
120367,61,2,118749,118749,120367,121790,1618,1618,0,0,0,0
120609,63,4,120125,120125,120609,121234,484,484,0,0,0,0
123272,62,4,119749,119749,123272,131264,3523,3523,0,0,0,0
123514,66,16,122790,122790,123514,125508,724,724,0,0,0,0
123756,65,1,122518,122518,123756,126870,1238,1238,0,0,0,0
124238,29,8,47455,47455,124238,250645,76783,76783,0,0,0,0
126610,67,16,126368,126368,126610,129018,242,242,0,0,0,0
128532,68,16,126836,126850,128532,133877,1682,1696,14,0,0,0
130713,55,32,104173,104173,130713,276333,26540,26540,0,0,0,0
131269,70,32,131027,131027,131269,132014,242,242,0,0,0,0
131751,69,8,130471,130471,131751,133782,1280,1280,0,0,0,0
132473,28,32,47051,47051,132473,843562,85422,85422,0,0,0,0
136721,71,32,135759,135759,136721,147161,962,962,0,0,0,0
137203,64,16,120714,120849,137203,145786,16354,16489,135,0,0,0
137839,72,64,137597,137597,137839,139538,242,242,0,0,0,0
140225,74,8,139743,139743,140225,143789,482,482,0,0,0,0
140707,52,16,99804,99804,140707,263780,40903,40903,0,0,0,0
141806,75,8,141324,141324,141806,142603,482,482,0,0,0,0
144640,76,8,142654,142654,144559,145504,1905,1905,0,0,0,0
150162,79,16,144640,144640,150162,153143,5522,5522,0,0,0,0
150884,81,16,150185,150402,150884,151551,482,699,217,0,0,0
151366,82,32,150302,150402,151366,152041,964,1064,100,0,0,0
155302,84,8,154820,154820,155302,157175,482,482,0,0,0,0
156264,78,1,143564,143564,156264,194634,12700,12700,0,0,0,0
161962,88,2,160851,161000,161962,163147,962,1111,149,0,0,0
162204,87,2,160760,160760,162204,163226,1444,1444,0,0,0,0
163159,73,8,138649,138649,163159,203555,24510,24510,0,0,0,0
164121,89,2,162438,162444,164121,166236,1677,1683,6,0,0,0
164363,90,32,162917,162917,164363,166619,1446,1446,0,0,0,0
174553,80,16,148720,148720,174497,283894,25777,25777,0,0,0,0
175039.0,97,2,171365,171365,175039.0,176769,3674.0,3674,0,0,0,0
175620,94,32,167704,167704,175620,191663,7916,7916,0,0,0,0
175862,99,16,175378,175378,175862,176516,484,484,0,0,0,0
176104,98,16,174553,174553,176104,177476,1551,1551,0,0,0,0
176104,91,16,163302,163399,176104,212081,12705,12802,97,0,0,0
177066,92,2,166427,166427,177066,189823,10639,10639,0,0,0,0
178028,96,8,171011,171011,178028,187202,7017,7017,0,0,0,0
181390,86,32,158712,158712,181390,252504,22678,22678,0,0,0,0
193392,95,8,170590,170590,193392,231878,22802,22802,0,0,0,0
226754,77,16,143215,143215,226754,272601,83539,83539,0,0,0,0
242356,83,8,152878,152878,242356,668055,89478,89478,0,0,0,0
256518,40,32,72602,72602,256518,914377,183916,183916,0,0,0,0
305720,85,32,158393,158393,305720,419698,147327,147327,0,0,0,0
373882,26,8,44699,44699,373882,917121,329183,329183,0,0,0,0
391644,33,64,49373,49379,391644,918236,342265,342271,6,0,0,0
656366,93,32,166596,166667,656366,1026822,489699,489770,71,0,0,0
