time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
4686,0,1,0,0,3934.0,5896,3934.0,3934,0,0,0,0
12043,1,1,4686,4686,9528.0,11932,4842.0,4842,0,0,0,0
12043,2,1,9116,9116,9876.0,10244,760.0,760,0,0,0,0
12043,4,1,9336,9356,10707.0,11357,1351.0,1371,0,0,0,0
17652,7,1,15703,15703,16720.0,17217,1017.0,1017,0,0,0,0
20358,3,1,9203,9356,20207.0,25437,10851.0,11004,0,0,0,0
20358,10,1,19052,19052,19804.0,20174,752.0,752,0,0,0,0
21461,12,1,20617,20617,21288.0,21618,671.0,671,0,0,0,0
32032,8,1,16255,16255,28315.0,34298,12060.0,12060,0,0,0,0
32032,9,1,17652,17652,25442.0,29296,7790.0,7790,0,0,0,0
32032,11,1,20358,20358,24999.0,27290,4641.0,4641,0,0,0,0
36507,14,1,22212,22212,34708.0,40938,12496.0,12496,0,0,0,0
39037,15,8,24137,24137,38634.0,45808,14497.0,14497,0,0,0,0
40071,19,1,38568,38568,39849.0,40472,1281.0,1281,0,0,0,0
41364,21,1,39092,39277,40986.0,41637,1709.0,1894,0,0,0,0
44699,16,1,32032,32032,41607.0,46340,9575.0,9575,0,0,0,0
44699,22,1,39134,39277,42357.0,42546,3080.0,3223,0,0,0,0
44699,23,2,40071,40071,44615.0,46860,4544.0,4544,0,0,0,0
47051,27,1,45818,45818,46875.0,47398,1057.0,1057,0,0,0,0
49373,32,8,48302,48322,49079.0,49422,757.0,777,0,0,0,0
59322,17,1,36507,36507,51760.0,59290,15253.0,15253,0,0,0,0
59322,25,1,41364,41364,56244.0,63630,14880.0,14880,0,0,0,0
59322,24,4,40647,40647,54355.0,61090,13708.0,13708,0,0,0,0
61005,30,1,47492,47695,60570.0,49358,12875.0,13078,0,0,0,0
64667,18,1,37686,37686,64324.0,77535,26638.0,26638,0,0,0,0
69046,38,4,67057,67057,67765.0,68108,708.0,708,0,0,0,0
72602,39,2,69046,69046,70933.0,71868,1887.0,1887,0,0,0,0
72602,36,8,61307,61307,69884.0,74113,8577.0,8577,0,0,0,0
74761,34,1,59322,59322,74211.0,73615,14889.0,14889,0,0,0,0
77100,35,1,61005,61005,75774.0,62519,14769.0,14769,0,0,0,0
99804,49,1,93778,93778,97406.0,99202,3628.0,3628,0,0,0,0
99804,50,1,94912,94912,99614.0,101954,4702.0,4702,0,0,0,0
99804,37,1,64667,64667,99242.0,97820,34575.0,34575,0,0,0,0
99804,41,1,74761,74761,96016.0,103075,21255.0,21255,0,0,0,0
103518,51,1,95922,95922,101043.0,103585,5121.0,5121,0,0,0,0
107390,54,16,103518,103518,105239.0,106064,1721.0,1721,0,0,0,0
110839,56,1,107390,107390,108018.0,108326,628.0,628,0,0,0,0
110839,5,1,12043,12043,108529.0,156466,96486.0,96486,0,0,0,0
111766,42,1,77100,77100,111625.0,78274,34525.0,34525,0,0,0,0
113024,43,1,77755,77755,112438.0,78758,34683.0,34683,0,0,0,0
113024,6,8,14041,14041,112889.0,161534,98848.0,98848,0,0,0,0
116819,57,1,110839,110839,115298.0,117509,4459.0,4459,0,0,0,0
116819,58,1,111766,111766,116807.0,119315,5041.0,5041,0,0,0,0
116819,59,1,113024,113024,113766.0,114131,742.0,742,0,0,0,0
116819,44,1,83698,83698,115483.0,87380,31785.0,31785,0,0,0,0
118749,45,1,88599,88599,117852.0,90142,29253.0,29253,0,0,0,0
119749,13,1,21461,21461,118765.0,167129,97304.0,97304,0,0,0,0
122518,63,1,120125,120125,120872.0,121234,747.0,747,0,0,0,0
126368,65,1,122518,122518,125427.0,126870,2909.0,2909,0,0,0,0
126368,66,1,122790,122790,124606.0,125508,1816.0,1816,0,0,0,0
126368,20,1,39037,39037,124805.0,167413,85768.0,85768,0,0,0,0
130471,47,1,90967,90967,129651.0,115640,38684.0,38684,0,0,0,0
131027,46,1,88863,88863,130802.0,106889,41939.0,41939,0,0,0,0
135759,68,1,126836,126836,131542.0,133877,4706.0,4706,0,0,0,0
135759,69,1,130471,130471,132686.0,133782,2215.0,2215,0,0,0,0
135759,70,1,131027,131027,131689.0,132014,662.0,662,0,0,0,0
137597,64,8,120714,120714,137509.0,145786,16795.0,16795,0,0,0,0
142654,74,1,139743,139743,142448.0,143789,2705.0,2705,0,0,0,0
142654,75,1,141324,141324,142180.0,142603,856.0,856,0,0,0,0
144640,76,8,142654,142654,144584.0,145504,1930.0,1930,0,0,0,0
150425,79,8,144640,144640,150338.0,153143,5698.0,5698,0,0,0,0
152878,81,1,150185,150185,151104.0,151551,919.0,919,0,0,0,0
152878,82,8,150302,150425,151594.0,152041,1169.0,1292,0,0,0,0
162438,87,1,160760,160760,162412.0,163226,1652.0,1652,0,0,0,0
162917,88,1,160851,161000,162538.0,163147,1538.0,1687,0,0,0,0
166427,89,1,162438,162438,164982.0,166236,2544.0,2544,0,0,0,0
166427,90,1,162917,162917,165393.0,166619,2476.0,2476,0,0,0,0
175378,97,1,171365,171365,174976.0,176769,3611.0,3611,0,0,0,0
176338,99,1,175378,175378,176137,176516,759,759,0,0,0,0
176578,98,1,174553,174553,176505.0,177476,1952.0,1952,0,0,0,0
181858,96,1,171011,171011,181817.0,187202,10806.0,10806,0,0,0,0
182098,92,1,166427,166427,182052.0,189823,15625.0,15625,0,0,0,0
183778,94,1,167704,167704,183697.0,191663,15993.0,15993,0,0,0,0
189298,48,1,92850,92850,189253.0,197786,96403.0,96403,0,0,0,0
193378,53,1,100846,100846,193204.0,111678,92358.0,92358,0,0,0,0
196018,91,1,163302,163302,195853.0,212081,32551.0,32551,0,0,0,0
196498,60,1,116819,116819,196384.0,121323,79565.0,79565,0,0,0,0
198658,61,1,118749,118749,198529.0,121790,79780.0,79780,0,0,0,0
206578,62,1,119749,119749,206339.0,131264,86590.0,86590,0,0,0,0
208498,67,1,126368,126368,208348.0,129018,81980.0,81980,0,0,0,0
211618,95,1,170590,170590,211464.0,231878,40874.0,40874,0,0,0,0
216178,71,1,135759,135759,216103.0,147161,80344.0,80344,0,0,0,0
217618,72,1,137597,137597,217476.0,139538,79879.0,79879,0,0,0,0
217858,29,1,47455,47455,217706.0,250645,170251.0,170251,0,0,0,0
219298,84,1,154820,154820,219192.0,157175,64372.0,64372,0,0,0,0
221698,31,1,48082,48082,221471.0,254401,173389.0,173389,0,0,0,0
229858,77,8,143215,143215,229692.0,272601,86477.0,86477,0,0,0,0
234898,55,1,104173,104173,234670.0,276333,130497.0,130497,0,0,0,0
236338,52,1,99804,99804,236103.0,263780,136299.0,136299,0,0,0,0
242338,78,1,143564,143564,242116.0,194634,98552.0,98552,0,0,0,0
245218,73,1,138649,138649,245005.0,203555,106356.0,106356,0,0,0,0
246178,86,1,158712,158712,246012.0,252504,87300.0,87300,0,0,0,0
305938,80,1,148720,148720,305734.0,283894,157014.0,157014,0,0,0,0
332818,85,8,158393,158393,332736.0,419698,174343.0,174343,0,0,0,0
