time,job_id,num_gpu,submit_time,start_time,end_time,ddl,executed_time,JCT,pending_time,preempt,promote,best_effort_job
4080,0,1,0,9223372036854775807,4080,5896,-9223372036854771727,4080,0,0,0,0
9840,1,1,4686,9223372036854775807,9840,11932,-9223372036854765967,5154,0,0,0,0
10080,2,1,9116,9223372036854775807,10080,10244,-9223372036854765727,964,0,0,0,0
10800,4,1,9336,9223372036854775807,10800,11357,-9223372036854765007,1464,0,0,0,0
17040,7,1,15703,9223372036854775807,17040,17217,-9223372036854758767,1337,0,0,0,0
20160,10,1,19052,9223372036854775807,20160,20174,-9223372036854755647,1108,0,0,0,0
20400,3,1,9203,9223372036854775807,20400,25437,-9223372036854755407,11197,0,0,0,0
21360,12,1,20617,9223372036854775807,21360,21618,-9223372036854754447,743,0,0,0,0
25200,11,1,20358,9223372036854775807,25200,27290,-9223372036854750607,4842,0,0,0,0
25680,9,1,17652,9223372036854775807,25680,29296,-9223372036854750127,8028,0,0,0,0
28560,8,1,16255,9223372036854775807,28560,34298,-9223372036854747247,12305,0,0,0,0
35040,14,1,22212,9223372036854775807,35040,40938,-9223372036854740767,12828,0,0,0,0
38880,15,8,24137,9223372036854775807,38880,45808,-9223372036854736927,14743,0,0,0,0
40080,19,1,38568,9223372036854775807,40080,40472,-9223372036854735727,1512,0,0,0,0
41040,21,1,39092,9223372036854775807,41040,41637,-9223372036854734767,1948,0,0,0,0
41760,22,1,39134,9223372036854775807,41760,42546,-9223372036854734047,2626,0,0,0,0
41760,16,1,32032,9223372036854775807,41760,46340,-9223372036854734047,9728,0,0,0,0
44640,23,2,40071,9223372036854775807,44640,46860,-9223372036854731167,4569,0,0,0,0
47040,27,1,45818,9223372036854775807,47040,47398,-9223372036854728767,1222,0,0,0,0
48960,30,1,47492,9223372036854775807,48960,49358,-9223372036854726847,1468,0,0,0,0
49440,32,8,48302,9223372036854775807,49440,49422,-9223372036854726367,1138,0,0,0,0
52080,17,1,36507,9223372036854775807,52080,59290,-9223372036854723727,15573,0,0,0,0
54480,24,4,40647,9223372036854775807,54480,61090,-9223372036854721327,13833,0,0,0,0
56400,25,1,41364,9223372036854775807,56400,63630,-9223372036854719407,15036,0,0,0,0
62400,35,1,61005,9223372036854775807,62400,62519,-9223372036854713407,1395,0,0,0,0
64560,18,1,37686,9223372036854775807,64560,77535,-9223372036854711247,26874,0,0,0,0
